Squadra,Giornata,PPDA,Casa/Trasferta,Anno
Venezia,20,24.642857142857142,Casa,2024-25
Venezia,21,11.166666666666666,Trasferta,2024-25
Venezia,22,13.833333333333334,Casa,2024-25
Venezia,23,6.851851851851852,Trasferta,2024-25
Venezia,24,7.555555555555555,Casa,2024-25
Venezia,25,6.642857142857143,Trasferta,2024-25
Venezia,26,9.333333333333334,Casa,2024-25
Venezia,27,12.095238095238097,Trasferta,2024-25
Venezia,28,10.074074074074074,Trasferta,2024-25
Venezia,29,8.703703703703704,Casa,2024-25
Venezia,30,20.615384615384617,Casa,2024-25
Monza,1,5.428571428571429,Trasferta,2024-25
Monza,2,18.0,Casa,2024-25
Monza,3,11.933333333333334,Trasferta,2024-25
Monza,4,31.6,Casa,2024-25
Monza,5,11.77777777777778,Casa,2024-25
Monza,6,30.7,Trasferta,2024-25
Monza,7,17.3,Casa,2024-25
Monza,8,11.285714285714286,Trasferta,2024-25
Monza,9,7.586206896551724,Casa,2024-25
Monza,10,12.666666666666666,Trasferta,2024-25
Monza,11,16.5,Casa,2024-25
Monza,12,14.473684210526317,Casa,2024-25
Monza,13,13.65,Trasferta,2024-25
Monza,14,15.352941176470589,Trasferta,2024-25
Monza,15,5.7407407407407405,Casa,2024-25
Monza,16,7.6521739130434785,Trasferta,2024-25
Monza,17,18.666666666666668,Casa,2024-25
Monza,18,5.851851851851852,Trasferta,2024-25
Monza,19,8.590909090909092,Casa,2024-25
Monza,20,11.090909090909092,Casa,2024-25
Monza,21,12.708333333333334,Trasferta,2024-25
Monza,22,9.9375,Trasferta,2024-25
Monza,23,5.346153846153846,Casa,2024-25
Monza,24,21.625,Trasferta,2024-25
Monza,25,12.529411764705882,Casa,2024-25
Monza,26,34.36363636363637,Trasferta,2024-25
Monza,27,17.428571428571427,Casa,2024-25
Monza,28,21.83333333333333,Trasferta,2024-25
